"","PCA1","PCA2","PCA3","PCA4","PCA5","PCA6","PCA7"
"DISTANCE_FROM_SINGAPORE_NUM",-0.999990066960574,0.00408889245361155,-0.00177231437394901,-4.16439303614115e-05,6.40794041534306e-05,1.73393062829515e-07,-1.79422308451074e-07
"TOTAL_EXP_MONTHS_NUM",-0.000340641553285574,-0.465872723783674,-0.881030633487152,-0.0815258602122933,-0.00926956041408711,0.00263407869913171,-0.00286060320975945
"PREDICTED_AGE_NUM",-5.97226951836602e-05,-0.0376314945638536,-0.0730051500351694,0.991162191421974,0.0943797876183141,-0.0276275969476949,0.034362726755025
"AGE_CONFIDENCE_NUM",1.09009841015901e-06,-2.56604669622218e-05,-5.98474896280107e-05,-0.0369512173456732,-0.00395923506310407,-0.102636290511574,0.994024506550539
"PROFS_NUM",-4.30679735972465e-06,-0.000774804096137334,5.56001402397828e-05,-0.0214950707783006,-0.0278012420728973,-0.99400357417648,-0.10354392287581
"LI_NUM",5.60947965804119e-05,-0.00291647923256508,-0.000158516006139442,-0.0955111977737444,0.995094079314046,-0.02553246771847,-0.00222337156055442
"LI_CONNECTIONS_NUM",-0.00444333324829138,-0.884036565973837,0.467388594241354,0.00110600486083669,-0.00239072033734204,0.000746326258834328,0.000113976111057679
