"","DISTANCE_FROM_SINGAPORE_NUM","TOTAL_EXP_MONTHS_NUM","PREDICTED_AGE_NUM","AGE_CONFIDENCE_NUM","PROFS_NUM","LI_NUM","LI_CONNECTIONS_NUM"
"361",10852.38033,220,42,1,2,12,500
"363",6292.33719,324,51,1,3,12,500
"365",10470.95185,12,25,1,1,5,186
"366",10486.37389,506,66,1,2,12,500
"367",10269.54934,473,63,1,1,11,366
"368",9608.62667,336,52,1,3,11,500
"369",15870.79505,132,35,1,1,10,120
"371",0,83,31,1,3,13,500
"372",2580.92694,89,31,1,1,12,500
"373",1026.86144,43,28,1,1,9,253
"374",6292.33719,325,51,1,1,12,500
"375",10852.38033,239,44,1,1,10,11
