"","Location","Distance_From_Singapore"
"127","Lake Oswego, Oregon","13107.89726"
"128","San Francisco Bay Area","13598.69045"
"129","Palo Alto, California","13633.73289"
"130","Fort Collins, Colorado Area","14521.16215"
"131","Minneapolis, Minnesota","14603.15447"
"132","Montreal, Quebec, Canada","14807.38586"
"133","Omaha, Nebraska","14882.03522"
"134","Toronto, Canada Area","15010.65338"
"135","Waterloo, Ontario, Canada","15021.41466"
"136","Unknown","15118.13890"
"137","Boston, Massachusetts","15135.77163"
"138","Wichita, Kansas","15169.43466"
"139","Toledo, Ohio","15182.92838"
"140","Westwood, New Jersey","15309.84043"
"141","Argentina","15706.49286"
"142","Rio de Janeiro, Rio de Janeiro, Brazil","15735.53224"
"143","Greensboro/Winston-Salem, North Carolina Area","15844.13582"
"144","Raleigh-Durham, North Carolina Area","15870.79505"
"145","Bryan, Texas","15871.94878"
"146","Porto Alegre Area, Brazil","15887.49605"
"147","Houston, Texas Area","15987.04810"
"148","Chile","16174.23285"
"149","Miami/Fort Lauderdale Area","16973.69239"
"150","Joinville Area, Brazil","17313.79410"
"151","Peru","19128.29396"
"152","Colombia","19319.18102"
"153","Basel Area, Switzerland",NA
"154","Greater New York City Area",NA
"155","Greater Minneapolis-St. Paul Area",NA
"156","Greater Poland District, Sroda Wielkopolska County, Poland",NA
"157","Greater Jakarta Area, Indonesia",NA
"158","Greater Seattle Area",NA
