"","API","Yield","Email","LI_FULLNAME","LI_TITLE","LI_LOCATION","LI_INDUSTRY","LI_CURRENTCOMPANY","LI_CONNECTIONS_NUM","LI_PASTCOMPANIES","LI_JOBTITLES","LI_JOBDATES","LI_EXPERIENCE","LI_EDUCATIONLEVEL","LI_EDUCATIONALINSTITUTION","LI_SKILLS","LI_GROUPS_NUM","LI_GROUPNAMES","LI_GROUPSIZES_NUM","TW_Name","TW_description","TW_location","TW_statusesCount_NUM","TW_followersCount_NUM","TW_favoritesCount_NUM","TW_friendsCount_NUM","TW_listedCount_NUM","TW_Latest_Tweets","TW_Retweets_NUM","FB_Gender","FB_Location","FB_Hometown","FB_Friends_NUM","FB_Married","FB_Followers_NUM","FB_Education","FB_Schools","FB_Job","FB_Company","FB_Graduation","FB_Age_NUM","FB_SchoolingYears","FB_Movies_NUM","FB_Music_NUM","FB_Sports_NUM","FB_MainInterest"
"1","FC","0.207","1","0.6328502","0.5990338","0.6328502","0.6183575","0.3091787","0.6328502","0.5169082","0.6086957","0.6086957","0.6376812","0.5169082","0.5169082","0.6376812","0.02415459","0.02415459","0.02415459","0.31400966","0.31400966","0.31400966","0.31400966","0.31400966","0.31400966","0.31400966","0.31400966","0.33333333","0.33333333","0.22705314","0.130434783","0.101449275","0.20772947","0.033816425","0.004830918","0.09661836","0.09661836","0.28502415","0.28502415","0.02898551","0.004830918","0.009661836","0.28502415","0.28502415","0.28502415","0.048309179"
"2","PG","0.203","1","0.9901478","0.9704433","0.9901478","0.9802956","0.4384236","0.9901478","0.7339901","0.9704433","0.9802956","0.9950739","0.7783251","0.7783251","0.9950739","0.01970443","0.01970443","0.01970443","0.03448276","0.03448276","0.03448276","0.03448276","0.03448276","0.03448276","0.03448276","0.03448276","0.03448276","0.03448276","0.02463054","0.009852217","0.009852217","0.02463054","0.009852217","0.004926108","0.01477833","0.01477833","0.03448276","0.03448276","0.00000000","0.000000000","0.004926108","0.03448276","0.03448276","0.03448276","0.009852217"
"5","CB","0.328","1","0.9146341","0.8658537","0.9146341","0.8780488","0.3414634","0.9146341","0.6341463","0.8292683","0.8292683","0.9756098","0.6829268","0.6829268","0.9756098","0.01219512","0.01219512","0.01219512","0.01219512","0.01219512","0.01219512","0.01219512","0.01219512","0.01219512","0.01219512","0.01219512","0.01219512","0.01219512","0.15853659","0.073170732","0.048780488","0.12195122","0.012195122","0.012195122","0.07317073","0.07317073","0.18292683","0.18292683","0.01219512","0.000000000","0.000000000","0.18292683","0.18292683","0.18292683","0.048780488"
"4","FCPGJoint","0.342","1","0.7865497","0.7631579","0.7865497","0.7748538","0.3713450","0.7865497","0.5935673","0.7660819","0.7719298","0.7923977","0.6228070","0.6228070","0.7923977","0.01754386","0.01754386","0.01754386","0.20175439","0.20175439","0.20175439","0.20175439","0.20175439","0.20175439","0.20175439","0.20175439","0.21345029","0.21345029","0.14912281","0.084795322","0.067251462","0.13450292","0.026315789","0.005847953","0.06432749","0.06432749","0.18713450","0.18713450","0.01754386","0.002923977","0.008771930","0.18713450","0.18713450","0.18713450","0.035087719"
"6","FCPGCBPartialJoint","0.375","1","0.7813333","0.7600000","0.7893333","0.7973333","0.3706667","0.8106667","0.5733333","0.7786667","0.7840000","0.4933333","0.6053333","0.6160000","0.5760000","0.01600000","0.01600000","0.01600000","0.18400000","0.06666667","0.06666667","0.18400000","0.18400000","0.18400000","0.18400000","0.18400000","0.19466667","0.19466667","0.15733333","0.088000000","0.066666667","0.13600000","0.026666667","0.008000000","0.01600000","0.06666667","0.04266667","0.05600000","0.01866667","0.002666667","0.008000000","0.19200000","0.18666667","0.19200000","0.042666667"
