"","API","Yield","Email","LI_FULLNAME","LI_TITLE","LI_LOCATION","LI_INDUSTRY","LI_CURRENTCOMPANY","LI_CONNECTIONS_NUM","LI_PASTCOMPANIES","LI_JOBTITLES","LI_JOBDATES","LI_EXPERIENCE","LI_EDUCATIONLEVEL","LI_EDUCATIONALINSTITUTION","LI_SKILLS","LI_GROUPS_NUM","LI_GROUPNAMES","LI_GROUPSIZES_NUM","TW_Name","TW_description","TW_location","TW_statusesCount_NUM","TW_followersCount_NUM","TW_favoritesCount_NUM","TW_friendsCount_NUM","TW_listedCount_NUM","TW_Latest_Tweets","TW_Retweets_NUM","FB_Gender","FB_Location","FB_Hometown","FB_Friends_NUM","FB_Married","FB_Followers_NUM","FB_Education","FB_Schools","FB_Job","FB_Company","FB_Graduation","FB_Age_NUM","FB_SchoolingYears","FB_Movies_NUM","FB_Music_NUM","FB_Sports_NUM","FB_MainInterest"
"1","FC","0.207","1","0.6328502","0.5990338","0.6328502","0.6183575","0.3091787","0.6328502","0.5169082","0.6086957","0.6086957","0.6376812","0.5169082","0.5169082","0.6376812","0.02415459","0.02415459","0.02415459","0.31400966","0.31400966","0.31400966","0.31400966","0.31400966","0.31400966","0.31400966","0.31400966","0.33333333","0.33333333","0.22705314","0.130434783","0.101449275","0.20772947","0.033816425","0.004830918","0.09661836","0.09661836","0.28502415","0.28502415","0.02898551","0.004830918","0.009661836","0.28502415","0.28502415","0.28502415","0.048309179"
"2","PG","0.203","1","0.9901478","0.9704433","0.9901478","0.9802956","0.4384236","0.9901478","0.7339901","0.9704433","0.9802956","0.9950739","0.7783251","0.7783251","0.9950739","0.01970443","0.01970443","0.01970443","0.03448276","0.03448276","0.03448276","0.03448276","0.03448276","0.03448276","0.03448276","0.03448276","0.03448276","0.03448276","0.02463054","0.009852217","0.009852217","0.02463054","0.009852217","0.004926108","0.01477833","0.01477833","0.03448276","0.03448276","0.00000000","0.000000000","0.004926108","0.03448276","0.03448276","0.03448276","0.009852217"
"3","FCPGJoint","0.369","1","0.7886179","0.7615176","0.7886179","0.7777778","0.3658537","0.7886179","0.5962060","0.7669377","0.7723577","0.7940379","0.6233062","0.6233062","0.7940379","0.02168022","0.02168022","0.02168022","0.19241192","0.19241192","0.19241192","0.19241192","0.19241192","0.19241192","0.19241192","0.19241192","0.20325203","0.20325203","0.13821138","0.078590786","0.062330623","0.12737127","0.024390244","0.005420054","0.05962060","0.05962060","0.17615176","0.17615176","0.01626016","0.002710027","0.008130081","0.17615176","0.17615176","0.17615176","0.032520325"
"4","FCPGJointCleaned","0.342","1","0.7865497","0.7631579","0.7865497","0.7748538","0.3713450","0.7865497","0.5935673","0.7660819","0.7719298","0.7923977","0.6228070","0.6228070","0.7923977","0.01754386","0.01754386","0.01754386","0.20175439","0.20175439","0.20175439","0.20175439","0.20175439","0.20175439","0.20175439","0.20175439","0.21345029","0.21345029","0.14912281","0.084795322","0.067251462","0.13450292","0.026315789","0.005847953","0.06432749","0.06432749","0.18713450","0.18713450","0.01754386","0.002923977","0.008771930","0.18713450","0.18713450","0.18713450","0.035087719"
